"8468085","46","Radim Vrbata","PHX","R","77","35","27","62","+24","24","9","1","12","1","232","15.1","18:38","22.6","40.3"
"8467545","47","Michael Ryder","DAL","R","82","35","27","62","+17","46","7","0","6","0","211","16.6","17:22","20.9","47.9"
"8471276","48","David Krejci","BOS","C","79","23","39","62","-5","36","2","0","2","1","145","15.9","18:25","21.5","52.0"
"8467396","49","Erik Cole","MTL","L","82","35","26","61","+11","48","11","0","6","0","241","14.5","18:31","23.4","42.8"
"8470794","50","Joe Pavelski","SJS","C","82","31","30","61","+18","31","8","1","2","0","269","11.5","20:36","27.3","58.7"
"8470039","51","Tomas Fleischmann","FLA","L","82","27","34","61","-7","26","6","0","4","0","217","12.4","19:05","24.9","51.8"
"8470543","52","Chris Kunitz","PIT","L","82","26","35","61","+16","49","6","0","3","0","230","11.3","18:18","20.9","52.6"
"8473473","53","Milan Lucic","BOS","L","81","26","35","61","+7","135","7","0","1","0","149","17.4","17:01","19.9","46.7"
"8470598","54","Thomas Vanek","BUF","L","78","26","35","61","-6","52","10","0","5","1","204","12.7","16:56","21.0","50.0"
"8466140","55","Olli Jokinen","CGY","C","82","23","38","61","-12","54","9","0","5","0","223","10.3","18:57","23.4","46.5"
"8470621","56","Corey Perry","ANA","R","80","37","23","60","-7","127","14","1","6","1","277","13.4","21:22","24.0","39.6"
"8470599","57","Milan Michalek","OTT","L","77","35","25","60","+4","32","10","1","3","0","212","16.5","19:33","26.3","16.7"
"8471976","58","David Desharnais","MTL","C","81","16","44","60","+10","24","3","0","2","0","98","16.3","18:23","23.2","49.4"
"8470041","59","Rick Nash","CBJ","L","82","30","29","59","-19","40","6","2","2","0","306","9.8","19:05","24.3","31.6"
"8460621","60","Daniel Alfredsson","OTT","R","75","27","32","59","+16","18","7","3","4","2","191","14.1","18:56","25.1","43.5"
"8466393","61","Pascal Dupuis","PIT","R","82","25","34","59","+18","34","0","3","8","0","214","11.7","16:55","21.2","44.3"
"8468508","62","Justin Williams","LAK","R","82","22","37","59","+10","44","9","0","2","0","241","9.1","17:09","21.5","44.0"
"8468064","63","Martin Erat","NSH","R","71","19","39","58","+12","30","5","1","3","0","107","17.8","18:28","25.0","47.6"
"8471676","64","Bobby Ryan","ANA","R","82","31","26","57","+1","53","3","2","3","0","204","15.2","18:21","22.4","29.0"
"8475169","65","Evander Kane","WPG","L","74","30","27","57","+11","53","6","0","4","1","287","10.5","17:31","20.5","34.1"
"8473604","66","Jonathan Toews","CHI","C","59","29","28","57","+17","28","5","1","4","0","185","15.7","20:50","26.3","59.4"
"8469457","67","Stephen Weiss","FLA","C","80","20","37","57","+5","60","5","1","6","0","149","13.4","20:30","26.3","53.2"
"8470612","68","Ryan Getzlaf","ANA","C","82","11","46","57","-11","75","4","0","4","1","185","5.9","21:35","23.8","47.2"
"8471309","69","Johan Franzen","DET","R","77","29","27","56","+23","40","11","0","10","1","211","13.7","17:42","22.6","44.1"
"8473419","70","Brad Marchand","BOS","L","76","28","27","55","+31","87","5","1","3","0","167","16.8","17:37","22.4","55.6"
"8475158","71","Ryan O'Reilly","COL","C","81","18","37","55","-1","12","4","0","3","2","189","9.5","19:31","25.4","52.8"
"8459492","72","Vinny Prospal","CBJ","L","82","16","39","55","-11","36","3","0","0","0","165","9.7","17:53","22.4","40.9"
"8471339","73","Ryan Callahan","NYR","R","76","29","25","54","-8","61","13","1","9","2","235","12.3","21:02","24.6","50.0"
"8470655","74","David Backes","STL","C","82","24","30","54","+15","101","8","2","4","0","234","10.3","19:59","29.2","48.6"
"8471346","75","Kris Versteeg","FLA","R","71","23","31","54","+4","49","8","1","5","1","181","12.7","19:54","25.3","32.3"
"8470606","76","Dustin Brown","LAK","R","82","22","32","54","+18","53","9","1","6","0","214","10.3","20:10","24.8","43.6"
"8470120","77","Alexander Semin","WSH","R","77","21","33","54","+9","56","2","0","1","0","183","11.5","16:47","19.4","9.1"
"8471698","78","T.J. Oshie","STL","R","80","19","35","54","+15","50","3","1","3","0","188","10.1","19:31","28.3","45.3"
"8448208","79","Jaromir Jagr","PHI","R","73","19","35","54","+5","30","8","0","2","1","170","11.2","16:20","20.3","0.0"
"8475791","80","Taylor Hall","EDM","L","61","27","26","53","-3","36","13","0","7","2","207","13.0","18:13","21.8","40.4"
"8468482","81","Dany Heatley","MIN","L","82","24","29","53","+2","28","8","0","3","0","238","10.1","20:56","24.4","53.7"
