"8469732","48","Joey MacDonald","DET","14","12","8","5","1","330","29","2.16","301",".912","0","0","0","0","805:33"
"8462152","49","Chris Mason","WPG","20","15","8","7","1","422","43","2.59","379",".898","2","0","0","0","994:52"
"8473523","50","Jhonas Enroth","BUF","26","22","8","11","4","756","63","2.70","693",".917","1","0","0","2","1,399:15"
"8473614","51","Richard Bachman","DAL","18","15","8","5","1","477","43","2.77","434",".910","1","0","1","0","933:05"
"8462161","52","Brent Johnson","PIT","16","14","6","7","2","359","42","3.11","317",".883","0","0","1","0","811:05"
"8473541","53","Jonathan Bernier","LAK","16","13","5","6","2","383","35","2.36","348",".909","1","0","0","0","890:12"
"8474765","54","Anders Lindback","NSH","16","10","5","8","0","364","32","2.42","332",".912","0","0","1","0","792:25"
"8469514","55","Peter Budaj","MTL","17","17","5","7","5","508","44","2.55","464",".913","0","0","3","2","1,036:57"
"8469152","56","Ty Conklin","DET","15","13","5","6","1","378","44","3.28","334",".884","1","0","1","0","804:34"
"8474651","57","Braden Holtby","WSH","7","6","4","2","1","192","15","2.49","177",".922","1","0","0","0","360:34"
"8475681","58","Ben Scrivens","TOR","12","11","4","5","2","359","35","3.13","324",".903","0","0","0","4","671:37"
"8475215","59","Robin Lehner","OTT","5","5","3","2","0","154","10","2.01","144",".935","1","0","0","0","299:07"
"8474057","60","Allen York","CBJ","11","5","3","2","0","199","16","2.30","183",".920","0","0","0","0","416:42"
"8475252","61","Matt Hackett","MIN","12","7","3","6","0","282","22","2.37","260",".922","0","0","0","0","555:34"
"8471750","62","Ben Bishop","OTT","10","9","3","3","2","243","22","2.48","221",".909","0","0","0","2","531:39"
"8467391","63","Jason LaBarbera","PHX","19","14","3","9","3","486","43","2.54","443",".912","0","0","0","2","1,014:38"
"8470074","64","Jeff Deslauriers","ANA","4","4","3","1","0","113","11","2.74","102",".903","0","0","0","0","241:12"
"8475097","65","Brad Thiessen","PIT","5","4","3","1","0","113","16","3.72","97",".858","0","0","0","2","257:44"
"8468481","66","Rick DiPietro","NYI","8","6","3","2","3","177","22","3.73","155",".876","0","0","2","0","353:45"
"8471251","67","Justin Peters","CAR","7","6","2","3","2","233","16","2.48","217",".931","1","0","0","0","387:04"
"8474593","68","Jacob Markstrom","FLA","7","6","2","4","1","222","17","2.66","205",".923","0","0","0","0","383:15"
"8474690","69","Kevin Poulin","NYI","6","6","2","4","0","162","15","3.04","147",".907","0","0","1","0","296:18"
"8467913","70","Alex Auld","OTT","14","8","2","4","2","310","36","3.35","274",".884","0","0","0","0","645:02"
"8467453","71","Andrew Raycroft","DAL","10","8","2","8","0","303","31","3.52","272",".898","0","0","0","0","529:23"
"8460612","72","Marty Turco","BOS","5","4","2","2","0","110","16","3.68","94",".855","0","0","0","2","260:37"
"8471418","73","Anton Khudobin","BOS","1","1","1","0","0","45","1","1.00","44",".978","0","0","0","0","60:00"
"8470147","74","Curtis McElhinney","PHX","2","1","1","0","0","36","2","1.67","34",".944","0","0","0","0","71:46"
"8468540","75","Dan Ellis","ANA","10","5","1","5","0","214","19","2.72","195",".911","0","0","1","0","418:42"
"8475195","76","Anders Nilsson","NYI","4","3","1","2","0","112","10","2.75","102",".911","1","0","0","0","217:48"
"8467959","77","Sebastien Caron","TBL","3","2","1","1","0","57","7","3.11","50",".877","0","0","0","0","134:40"
"8475431","78","Henrik Karlsson","CGY","9","7","1","4","2","239","24","3.17","215",".900","0","0","0","0","454:10"
"8473414","79","Leland Irving","CGY","7","7","1","3","3","239","21","3.20","218",".912","0","0","0","0","394:25"
"8462052","80","Brian Boucher","CAR","10","8","1","6","1","260","31","3.41","229",".881","0","0","0","0","546:21"
"8474682","81","Dustin Tokarski","TBL","5","5","1","3","1","116","14","3.44","102",".879","0","0","1","2","243:35"
"8476243","82","Iiro Tarkki","ANA","1","0","1","0","0","10","3","4.39","7",".700","0","0","0","0","40:51"
"8474729","83","Mike Murphy","CAR","2","0","0","1","0","9","0","0.00","9","1.000","0","0","0","0","36:06"
"8474771","84","Peter Mannino","WPG","1","0","0","0","0","4","0","0.00","4","1.000","0","0","0","0","19:51"
"8471822","85","Brian Foster","FLA","1","0","0","0","0","1","0","0.00","1","1.000","0","0","0","0","4:52"
"8476803","86","Shawn Hunwick","CBJ","1","0","0","0","0","0","0","0.00","0",".000","0","0","0","0","2:33"
"8469569","87","Drew MacIntyre","BUF","2","0","0","0","0","18","1","1.40","17",".944","0","0","0","0","43:29"
"8471186","88","Yann Danis","EDM","1","0","0","0","0","12","2","3.75","10",".833","0","0","0","0","32:26"
"8475680","89","Jussi Rynnas","TOR","2","1","0","1","0","40","7","4.24","33",".825","0","0","0","0","98:54"
